Department,Role,Course Name,Description,Provider
Legal,Compliance Officer,Marketing Analytics Training,Develop expertise in leadership and decision-making.,LinkedIn Learning
HR,Recruiter,SEO Optimization Training,Improve technical skills with hands-on training.,Khan Academy
Sales,Business Development,Database Optimization Training,Improve technical skills with hands-on training.,Udemy
Engineering,Electrical Engineer,Audit Standards Training,Explore strategies for growth and efficiency.,Pluralsight
Operations,Procurement Officer,Cloud Computing Training,Develop expertise in leadership and decision-making.,Google Digital Garage
Logistics,Transport Coordinator,Software Development Training,Develop expertise in leadership and decision-making.,Pluralsight
Engineering,Mechanical Engineer,Software Development Training,Master tools and techniques for improved productivity.,Skillshare
Logistics,Transport Coordinator,Customer Service Excellence Training,Gain skills for compliance and risk management.,Udemy
Marketing,Marketing Manager,Tax Compliance Training,Boost performance with proven methodologies.,Coursera
Operations,Operations Manager,Marketing Analytics Training,Enhance problem-solving and analytical abilities.,Khan Academy
Customer Service,Support Specialist,Procurement Strategies Training,Gain skills for compliance and risk management.,edX
HR,Payroll Specialist,Time Management Training,Develop expertise in leadership and decision-making.,Pluralsight
Marketing,Social Media Manager,Logistics Management Training,Explore strategies for growth and efficiency.,Khan Academy
Finance,Financial Analyst,Financial Accounting Training,Develop expertise in leadership and decision-making.,Khan Academy
Operations,Operations Manager,Legal Compliance Training,Build foundational and advanced skills.,HubSpot Academy
HR,Recruiter,Legal Compliance Training,Improve technical skills with hands-on training.,HubSpot Academy
IT,Database Administrator,Audit Standards Training,Understand key concepts and workflows.,Udemy
Legal,Legal Advisor,Network Security Training,Gain skills for compliance and risk management.,Khan Academy
Customer Service,Support Specialist,Network Security Training,Understand key concepts and workflows.,HubSpot Academy
Logistics,Logistics Analyst,Audit Standards Training,Enhance problem-solving and analytical abilities.,HubSpot Academy
Engineering,Civil Engineer,Marketing Analytics Training,Gain skills for compliance and risk management.,Udemy
Marketing,Marketing Manager,Cybersecurity Basics Training,Develop expertise in leadership and decision-making.,Pluralsight
Customer Service,Client Relations Manager,Operational Efficiency Training,Enhance problem-solving and analytical abilities.,LinkedIn Learning
IT,Cybersecurity Specialist,Employee Training Training,Build foundational and advanced skills.,edX
Customer Service,Call Center Agent,Machine Learning Basics Training,Gain skills for compliance and risk management.,LinkedIn Learning
Customer Service,Client Relations Manager,Supply Chain Optimization Training,Improve technical skills with hands-on training.,Coursera
Operations,Operations Manager,Conflict Management Training,Explore strategies for growth and efficiency.,Khan Academy
Logistics,Supply Chain Manager,Supply Chain Optimization Training,Master tools and techniques for improved productivity.,Khan Academy
Finance,Financial Analyst,Lean Manufacturing Training,Build foundational and advanced skills.,Pluralsight
Sales,Account Executive,Supply Chain Optimization Training,Learn practical applications and best practices.,Google Digital Garage
Legal,Contract Manager,Procurement Strategies Training,Enhance problem-solving and analytical abilities.,Coursera
Engineering,Civil Engineer,Employee Training Training,Build foundational and advanced skills.,Khan Academy
HR,Training Coordinator,Project Management Training,Enhance problem-solving and analytical abilities.,edX
Engineering,Software Engineer,Audit Standards Training,Develop expertise in leadership and decision-making.,Skillshare
HR,Recruiter,Time Management Training,Develop expertise in leadership and decision-making.,Khan Academy
Operations,Project Manager,Audit Standards Training,Enhance problem-solving and analytical abilities.,LinkedIn Learning
Operations,Operations Manager,Software Development Training,Learn practical applications and best practices.,Google Digital Garage
Legal,Contract Manager,Time Management Training,Explore strategies for growth and efficiency.,Khan Academy
IT,Database Administrator,Leadership Skills Training,Master tools and techniques for improved productivity.,Pluralsight
Logistics,Logistics Analyst,Audit Standards Training,Develop expertise in leadership and decision-making.,edX
IT,Cybersecurity Specialist,Procurement Strategies Training,Develop expertise in leadership and decision-making.,Pluralsight
Engineering,Civil Engineer,Leadership Skills Training,Learn practical applications and best practices.,edX
Operations,Operations Manager,Marketing Analytics Training,Build foundational and advanced skills.,edX
Customer Service,Call Center Agent,SEO Optimization Training,Explore strategies for growth and efficiency.,Google Digital Garage
Finance,Accountant,Audit Standards Training,Enhance problem-solving and analytical abilities.,Khan Academy
Sales,Business Development,Payroll Processing Training,Improve technical skills with hands-on training.,edX
Operations,Project Manager,Contract Negotiation Training,Build foundational and advanced skills.,Skillshare
IT,Database Administrator,Social Media Growth Training,Explore strategies for growth and efficiency.,Udemy
Finance,Auditor,Cybersecurity Basics Training,Enhance problem-solving and analytical abilities.,Udemy
Sales,Business Development,Cybersecurity Basics Training,Learn practical applications and best practices.,HubSpot Academy
Marketing,Marketing Manager,Cybersecurity Basics Training,Boost performance with proven methodologies.,Coursera
Marketing,Content Creator,Software Development Training,Improve technical skills with hands-on training.,Google Digital Garage
Marketing,Marketing Manager,Machine Learning Basics Training,Develop expertise in leadership and decision-making.,Udemy
Engineering,Mechanical Engineer,Social Media Growth Training,Boost performance with proven methodologies.,Skillshare
Operations,Operations Manager,Operational Efficiency Training,Develop expertise in leadership and decision-making.,Udemy
Customer Service,Call Center Agent,Cybersecurity Basics Training,Develop expertise in leadership and decision-making.,LinkedIn Learning
Logistics,Transport Coordinator,Content Creation Training,Boost performance with proven methodologies.,edX
Finance,Financial Analyst,Content Creation Training,Develop expertise in leadership and decision-making.,LinkedIn Learning
Marketing,Social Media Manager,Operational Efficiency Training,Understand key concepts and workflows.,Udemy
HR,Recruiter,Legal Compliance Training,Learn practical applications and best practices.,Coursera
Legal,Paralegal,Machine Learning Basics Training,Improve technical skills with hands-on training.,Skillshare
